기준연월,고객광역시군구명,전체이용건수,전체이용금액
202002,경상남도,72922,2253232148
202002,광주광역시,36575,1058751043
202002,대전광역시,201042,6683622943
202003,세종특별자치시,75461,2631785313
202003,울산광역시,23535,731642858
202003,인천광역시,153299,4641464971
202003,전라북도,95309,3051032697
202003,충청북도,96230,2855379059
202004,강원도,26649,734449877
202004,경기도,1052281,31359292143
202004,경상북도,63515,1825521285
202005,부산광역시,80076,2408911862
202005,서울특별시,654641,21570721432
202006,대구광역시,59420,1640016773
202006,전라남도,49122,1522555873
202006,제주특별자치도,10610,269666810
202007,경상남도,90754,2522526688
202007,광주광역시,45249,1268613054
202007,대전광역시,260643,8241953692
202008,세종특별자치시,82198,2598869441
202008,울산광역시,27834,779482403
202008,인천광역시,213257,5817223483
202008,전라북도,113121,3195459791
202008,충청북도,121241,3462041626
202009,강원도,27795,726803113
202009,경기도,1175304,34748719766
202009,경상북도,68251,1899876447
202010,대구광역시,62026,1755053584
202010,전라남도,47826,1417345236
202010,제주특별자치도,9904,247530744
202011,경상남도,83758,2413483401
202011,광주광역시,42597,1327690556
202011,대전광역시,230896,8113815240
202012,세종특별자치시,63497,2303299167
202012,울산광역시,24955,766491774
202012,인천광역시,166251,4820696258
202012,전라북도,92011,3075490069
202012,충청북도,90752,2927605344
202101,경상남도,73737,2295274219
202101,광주광역시,33604,1069803251
202101,대전광역시,192086,6316912018
202102,세종특별자치시,61252,2235144426
202102,울산광역시,23348,737583938
202102,인천광역시,154595,4727192943
202102,전라북도,89750,3121479583
202102,충청북도,88355,2883256196
202103,강원도,28407,778813117
202103,경기도,1062027,33170380511
202103,경상북도,67440,2002072359
